no,provinsi,kabkota,alamat,yayasan,pulau,lat,lng,flags
1,Aceh,Aceh Barat,"Desa Langung Meurebo, Aceh Barat",Yayasan Pemuda Santri Aceh Barat,Luar Jawa,4.15,96.13,
2,Aceh,Aceh Besar,Jl. Banda Aceh 0 Medan Desa Lampreh Ingin Jaya Aceh Besar,Yayasan Kurnia Jaya Abadi,Luar Jawa,5.4,95.5,
3,Aceh,Aceh Jaya,Jl. Meulaboh Banda Aceh Desa Leupe Jaya Aceh Jaya,Yayasan Kurnia Jaya Abadi,Luar Jawa,4.75,95.6,
4,Aceh,Aceh Selatan,Desa Tanjung Harapan,Yayasan Berkah Cahaya,Luar Jawa,3.2,97.18,
5,Aceh,Aceh Tamiang,Jl. Banda Aceh 0 Medan Ds Tualang Cut Manyak Payed Aceh Tamiang,Yayasan Makmur Maju Bersama,Luar Jawa,4.28,98,
6,Aceh,Aceh Tengah,"Jln. Putri Pukes, Kp. Lut Kala, Kebayakan",Yayasan Bebesen Gayo Bergizi Nusantara,Luar Jawa,4.62,96.85,
7,Aceh,Aceh Tenggara,Desa Biak Muli Pantai,Yayasan Alfaruqul Faqih Al Aziziyah,Luar Jawa,3.5,97.8,
8,Aceh,Aceh Timur,Jl. Alue Ie Mirah Desa Blang Paoh Julok Aceh Timur,Yayasan Nasabe Pangan Bergizi,Luar Jawa,4.85,97.8,
9,Aceh,Bener Meriah,"Kp. Purwosari, Bandar, Bener Meriah",Yayasan Bebesen Gayo Bergizi Nusantara,Luar Jawa,4.75,96.85,
10,Aceh,Gayo Lues,Jln Kutapanjang0blangkejeren Dusun Turun Junte Desa Rema Kutapanjang Gayo Lues,Yayasan Bebesen Gayo Bergizi Nusantara,Luar Jawa,3.98,97.3,
11,Aceh,Kota Banda Aceh,Jl. Pendidikan Desa Lamjabat Meuraxa Kota Banda Aceh,Yayasan Kurnia Cahaya Permata,Luar Jawa,5.55,95.32,
12,Aceh,Kota Banda Aceh,Jl. Seulanga Jurong Panglima Nyak Raja No. 318 Desa Lamlagang Banda Raya Kota Banda Aceh,Yayasan Makmur Maju Bersama,Luar Jawa,5.53673,95.33216,
13,Aceh,Kota Langsa,Desa Matang Seulimeng Langsa Barat Kota Langsa,Yayasan Makmur Maju Bersama,Luar Jawa,4.47,97.97,
14,Aceh,Kota Lhokseumawe,Jl. Pesantren Babul Huda Aceh Dusun Lhokumbang Desa Meunasah Alue,Yayasan Babul Huda Aceh Indonesia,Luar Jawa,5.18,97.15,
15,Aceh,Kota Sabang,Desa Ie Meulee Suka Jaya Kota Sabang,Yayasan Kurnia Cahaya Permata,Luar Jawa,5.89,95.32,
16,Aceh,Nagan Raya,Desa Blang Baro Kuala Nagan Raya,Yayasan Putri Ratu Ana,Luar Jawa,4.15,96.4,
17,Aceh,Pidie,Komplek Pemda No 12 Blang Paseh,Yayasan Cahaya Semesta Bersama,Luar Jawa,5.38,95.96,
18,Aceh,Pidie Jaya,Jl. Rel Desa Meunasayah Keudeu Bandar Baru Pidie Jaya,Yayasan Bustanul Fakri Aceh,Luar Jawa,5.25,96.2,
19,Aceh,Simeulue,Desa Labuhan Bakti Teupah Selatan,Yayasan Rumah Kita Indonesia,Luar Jawa,2.48,96.38,
20,Bali,Denpasar,"Jl. Sokasati, Gang Menori No.11, Sumerta Kelod, Kec. Denpasar Timur, Kota Denpasar, Bali",Yayasan Pendidikan Cakra Cemerlang Internasional,Luar Jawa,-8.67,115.21,
21,Bali,Denpasar,"Jl.Tukad Petanu, Gang Pipit No.8, Sidakarya, Denpasar Selatan, Bali",Yayasan Pendidikan Cakra Cemerlang Internasional,Luar Jawa,-8.68327,115.22216,
22,Banten,Kabupaten Serang,Jl. Kh Abdul Kabier Rt 012 Rw 003 Desa Kemuning Kec. Tunjung Teja Serang Prov Banten,Yayasan Shohibul Muslimin,Jawa,-6.15,106.15,
23,Banten,Kabupaten Tangerang,"Kp Korelet Desa Ranca Kelapa Kec. Panongan, Tangerang",Yayasan Hidayatul Hikmah Rajeg,Jawa,-6.2,106.53,
24,Banten,Kabupaten Tangerang,"Jalan - Cisoka, Cisoka, Kecamatan Cisoka Kabupaten Tangerang 15730",Yayasan Al- Munawwir Cendekia Mulia,Jawa,-6.21327,106.54216,
25,Banten,Kabupaten Tangerang,"Jalan Aria Jaya Santika Pasir Nangka Kecamatan Tigaraksa, Kabupaten Tangerang Banten, 15720",Yayasan Al- Munawwir Cendekia Mulia,Jawa,-6.19777,106.50464,
26,Banten,Kota Serang,"Jl. Ayip Usman No. 27 Serang, Kota Serang - Banten",Yayasan Puspa Indah Mitra Kreatif,Jawa,-6.12,106.15,
27,Banten,Kota Serang,"Jl. Kh Abdul Hadi, Cipare, Kec. Serang, Kota Serang, Banten 42117",Yayasan Puspa Indah Mitra Kreatif,Jawa,-6.13327,106.16216,
28,Banten,Kota Serang,"Jl. Penancangan Lama No.01, Rt.001/Rw.001, Panancangan, Kec. Cipocok Jaya, Kota Serang, Banten 42124",Yayasan Hidayatul Mubtadiin,Jawa,-6.11777,106.12464,
29,Banten,Kota Serang,"Jl. Raya Cilegon Drangong Serang, Banten No. Km 4, Drangong Kota Serang Banten",Yayasan Kemala Bhayangkari,Jawa,-6.10103,106.17474,
30,Banten,Kota Tangerang,Perum Griya Permata Jl. Kh. Ahmad Dahlan Blok B1 No. 9a Kelurahan Petir Cipondoh Kota Tangerang Provinsi Banten,Persada Nusa Bakti,Jawa,-6.18,106.63,
31,Banten,Kota Tangerang,Jl. Marsekal Suryadarma Rt.04/ Rw.07,Yayasan Hidayatul Hikmah Rajeg,Jawa,-6.19327,106.64216,
32,Banten,Kota Tangerang Selatan,"Jl. Ki Hajar Dewantara No. 12 Rt 03 Rw 07 Kel. Sawah, Kec. Ciputat, Tangerang Selatan",Yayasan Indonesia Food Security Review,Jawa,-6.29,106.72,
33,Banten,Kota Tangerang Selatan,"Jl. Bayangkara No.1, Rt.003/Rw.002, Desa/Kelurahan Pakujaya",Yayasan Indonesia Kulina Emas,Jawa,-6.30327,106.73216,
34,Banten,Serang,"Jl. Trip Jamaksari Komp. Bungur Indah Gg. Garuda No.17 Sumurpecung, Serang, Kota Serang, Banten",Yayasan Bina Prestasi,Jawa,-6.12,106.16,
35,DI Yogyakarta,Gunungkidul,"Jl. Taman Bakti, Jeruksari, Wonosari",Yayasan Tunas Mekar Cianjur,Jawa,-7.97,110.6,
36,DI Yogyakarta,Kulon Progo,"Karangwuluh Lor, Rt005/Rw003, Karangwuluh, Temon",Yayasan Mugi Berkah Lestari,Jawa,-7.83,110.16,
37,DI Yogyakarta,Sleman,"Jalan Godean Km. 8, Sidokarto, Kec. Godean, Sleman, Diy",Yayasan Indonesia Food Security Review,Jawa,-7.7,110.36,
38,DI Yogyakarta,Yogyakarta,"Jl Surami No 845, Mantrijeron",Yayasan Indonesia Food Security Review,Jawa,-7.8,110.37,
39,DKI Jakarta,Jakarta Selatan,"Jalan Kebayoran Lama Raya No. 35a Rt.004 Rw.010, Grogol Selatan Kebayoran Lama",Yayasan Taruna Mandiri Riau,Jawa,-6.28,106.81,
40,DKI Jakarta,Jakarta Selatan,"Jl. Siaga No.14, Rt.16/Rw.4, Pejaten Barat, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibujakarta 12510",Yayasan Kemala Bhayangkari,Jawa,-6.29327,106.82216,
41,DKI Jakarta,Jakarta Selatan,"Jl. Samali Ujung 1. Rt 011 Rw 04 Nomor 36 Pejaten Barat, Pasar Minggu",Yayasan Bakti Ibu Sejahtera,Jawa,-6.27777,106.78464,
42,DKI Jakarta,Jakarta Timur,"Jl. Cipinang Lontar Indah, Rt.10/Rw.6, Kelurahan Cipinang Muara, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Yayasan Pendidikan Al Qur'an Nurul Huda,Jawa,-6.25,106.9,
43,DKI Jakarta,Jakarta Timur,"Kampung Rawaterate Rt 001/002, Nomor 112",Pemuda Pewaris Kebaikan,Jawa,-6.26327,106.91216,
44,DKI Jakarta,Jakarta Timur,"Jl. Merpati 2, Rt.2/Rw.2, Kp. Tengah, Kec. Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Yayasan Lumbung Unnati Utama,Jawa,-6.24777,106.87464,
45,DKI Jakarta,Jakarta Timur,"Jl. Raya Jatiwaringin, No. 42, Rt.05/Rw.05, Cipinang Melayu, Kec. Makasar, Jakarta Timur",Yayasan Rahmatan Lil Alamin Indonesia,Jawa,-6.23103,106.92474,
46,DKI Jakarta,Jakarta Timur,"Jl. Bekasi Timur Raya No.86, Rt.8/Rw.6, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta.",Yayasan Kemala Bhayangkari,Jawa,-6.28545,106.89373,
47,DKI Jakarta,Jakarta Timur,"Jl. Merpati 2, Rt.2/Rw.2, Kp. Tengah, Kec. Kramat Jati, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Yayasan Lumbung Unnati Utama,Jawa,-6.21604,106.8784,
48,Gorontalo,Gorontalo,"Jl. Husin Bilondato, Ds. Mongolato, Telaga, Gorontalo, Prov. Gorontalo",Rumah Nurul Ilm,Luar Jawa,0.62,122.95,
49,Gorontalo,Pohuwato,"Jl. Umahani, Desa Marisa Utara, Marisa, Pohuwato",Rumah Nurul Ilm,Luar Jawa,0.45,121.85,
50,Jawa Barat,Bekasi,"Kp Cimahi Rt 07/Rw 03, Desa Sukamahi, Kecamatan Cikarang Pusat, Kabupaten Bekasi, Jawa Barat",Yayasan Timur Bangkit Peduli,Jawa,-6.25,107.15,
51,Jawa Barat,Bogor,Jl.M Bakri No 5b Rt 01/ Rw 02 Singajaya Jonggol Bogor 16830,Yayasan Indonesia Food Security Review,Jawa,-6.55,106.8,
52,Jawa Barat,Garut,"Jl. Garut - Tasikmalaya No.36, Rt.001/Rw.002, Ngamplangsari, Kec. Cilawu, Kabupaten Garut, Jawa Barat",Persyarikatan Muhammadiyah,Jawa,-7.22,107.9,
53,Jawa Barat,Karawang,"Jl. Pasundan No. 101, Adiarsa Barat, Kec. Karawang Barat, Karawang, Jawa Barat",Yayasan Indonesia Food Security Review,Jawa,-6.3,107.3,
54,Jawa Barat,Bandung,Kp Cimenteng Rt 02 Rw 16 Kel. Jagabaya Kec Cimaung,Yayasan Muhammad Ar Ravi Al Khaidar,Jawa,-7.02,107.52,
55,Jawa Barat,Bandung,Kp Pesanggrahan Rt 01 Rw 07 Ds Pangalengan Kec Pangalengan Bandung,Yayasan Buana Mutiara Insani,Jawa,-7.03327,107.53216,
56,Jawa Barat,Bandung,Ereng Wetan Rt01/Rw12 Ds Bojongemas Kec Solokan Jeruk Bandung,Yayasan Buana Mutiara Insani,Jawa,-7.01777,107.49464,
57,Jawa Barat,Bandung Barat,"Jl. Permata Cimahi Blok A No.7, Rt.005 Rw.012, Kelurahan Tanimulya",Yayasan Farisa Bakti Persada,Jawa,-6.83,107.48,
58,Jawa Barat,Bekasi,"Perum Vila Mutiara Cikarang B2 No 34 Desa Ciantra, Kec Cikarang Selatan, Bekasi Jawa Barat",Yayasan Nurut Thoyibah,Jawa,-6.26327,107.16216,
59,Jawa Barat,Bekasi,"Jl Bawang Raya 11 No 64 Rt 004 Rw 08 Desan Cimuning, Kec Mustikajaya, Kota Bekasi, Jawa Barat",Yayasan Nurut Thoyibah,Jawa,-6.24777,107.12464,
60,Jawa Barat,Bekasi,Perumahan Bumi Anggrek Blok Q No 8 Desa Rancasari Kec Tambun Utara Bekasi,Yayasan Mishbahul Huda Pamanukan,Jawa,-6.23103,107.17474,
61,Jawa Barat,Ciamis,"Jl. Ahmad Yani No.221 Rt 002 / Rw 002, Kel. Kertasari, Kec. Ciamis, Ciamis",Arroja Alarif Ciamis,Jawa,-7.33,108.35,
62,Jawa Barat,Ciamis,Dsn. Mekarmulya Rt 004 Rw 005 Ds. Jelat Kec. Baregbeg,Asra Bakti Maritim,Jawa,-7.34327,108.36216,
63,Jawa Barat,Ciamis,Jl. Puspalubis Bolenglang Kertasari Ciamis,Yayasan Pendidikan Pondok Pesantren Al Hasan,Jawa,-7.32777,108.32464,
64,Jawa Barat,Ciamis,Dusun Gunungrasa Rt 13 Rw 007 Desa Gunungcupu Kec Sindangkasih Ciamis,Yayasan Asra Bakti Maritim,Jawa,-7.31103,108.37474,
65,Jawa Barat,Cianjur,Jl. Abdullah Bin Nuh Rt 03 Rw 07 Desa Nagrak Kec Cianjur Jawa Barat 43211,Yayasan Tunas Mekar Cianjur,Jawa,-6.82,107.14,
66,Jawa Barat,Cianjur,Kp Rancagoong Rt 002 Rw 005 Desa Rancagoong Kec Cilaku Cianjur Jawa Barat 43285,Yayasan Tunas Mekar Cianjur,Jawa,-6.83327,107.15216,
67,Jawa Barat,Cianjur,"Kp. Sukawening Rt/Rw 003/001, Kelurahan Sukamekar, Desa Sukamekar, Kecamatan Sukanagara",Yayasan Aku Cinta Cianjur,Jawa,-6.81777,107.11464,
68,Jawa Barat,Cirebon,Jl. Pamengkang Raya No. 111 Rt 001/Rw 004,Yayasan Asra Bakti Maritim,Jawa,-6.75,108.55,
69,Jawa Barat,Garut,"Jl. Garut - Tasikmalaya No.36, Rt.001/Rw.002, Ngamplangsari, Kec. Cilawu, Kabupaten Garut, Jawa Barat",Persyarikatan Muhammadiyah,Jawa,-7.23327,107.91216,
70,Jawa Barat,Garut,"Jl. Raya Bayongbong - Garut No.Km, Rw. 1, Muara Sanding, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44119",Yayasan Mualaf Indonesia Timur,Jawa,-7.21777,107.87464,
71,Jawa Barat,Garut,Jl. Limbangan Barat No.16 Da. Cigagade,Yayasan Cahaya Wirabangsa,Jawa,-7.20103,107.92474,
72,Jawa Barat,Indramayu,Jl. Pesisir Syek Sama'un Rt 01 /Rw 08 Desa Dadap Kecamatan Juntinyuat Kabupaten Indramayu Provinsi Jawa Barat,Yayasan Buana Mutiara Insani,Jawa,-6.35,108.32,
73,Jawa Barat,Indramayu,Jln. Raya Jatibarang Kadipaten Desa Lajer Kec. Tukdana Indramayu,Yayasan Buana Mutiara Insani,Jawa,-6.36327,108.33216,
74,Jawa Barat,Karawang,"Dusun Krajan Rt 03 Rw 01 Desa Batujaya, Kec Batujaya, Karawang, Jawa Barat",Yayasan Nurut Thoyibah,Jawa,-6.31327,107.31216,
75,Jawa Barat,Karawang,"Jl. H. Mochamad Toyib, Dusun Cibuaya 1, Rt001/Rw001, Desa Cibuaya, Kec. Cibuaya, Karawang",Yayasan Pendidikan Islam Al Faridiyah,Jawa,-6.29777,107.27464,
76,Jawa Barat,Karawang,"Kp. Babakan Bogor Rt 01 Rw 05 Desa Dawuan Barat, Kec. Cikampek, Karawang",Yayasan Al Insyirah Firdausy Mobarok,Jawa,-6.28103,107.32474,
